SKU,title,description,currency,price,brand,url,primary_category,sub_category_1,sub_category_2
420971989,"Nuventin Anti-Wrinkle Retinol Cream with Hyaluronic Acid and Green Tea.  Anti-Aging Cream with Retinol for Wrinkles, Fine Lines, Dry Skin. 15 fl oz","<p>Made with the number 1 recommended anti-aging ingredient, Retinol (Vitamin A), this retinol body lotion instantly hydrates your skin to help fight dry skin for men and women. With natural green tea, this anti-wrinkle lotion can be used on under your eye, face, neck, décolleté, and body. Advanced Formula with Aloe Vera to give your skin a dose of instant hydration and can even help with crepey skin. Facial cream helps with fine lines and can be used daily as a night cream or day cream. For best results use after facial cleanser and facial serum.</p>",USD,14.99,Nuventin,https://www.walmart.com/ip/Nuventin-Anti-Wrinkle-Retinol-Cream-with-Hyaluronic-Acid-and-Green-Tea-Anti-Aging-Cream-with-Retinol-for-Wrinkles-Fine-Lines-Dry-Skin-15-fl-oz/420971989,Personal Care,Bath & Body,Body Lotions
140920669,DURASACK 48-Gallon Green Outdoor Polypropylene Reusable Lawn and Leaf Bag (1-Pack),"DURASACK by Halsted - For hauling, cleaning, home improvement jobs, storage and much more, the DURASACK Heavy-Duty Home and Yard Bag is an indispensable household tool - the strongest bag made for the toughest of jobs, both indoors and outdoors. Its virtually tear/puncture-proof, rugged woven polypropylene design enables this lawn bag to handle loads up to 1000 lbs., yet it weighs less than 2 lbs. itself. It is water and moisture resistant and simply rinses or wipes clean, fitting the bill to be used over and over again for household jobs of any kind. From lawn, garden, and yard maintenance jobs, to needed garage or basement storage, to those critical home improvement undertakings that can otherwise be very messy, we offer the strongest, most durable bag for your next project. The DURASACK could not be easier to use, with it's expertly engineered self-standing design, this lawn and yard bag will stay open and upright while unfolded, for convenient hands-free use. When you are ready to move or dump it, carry handles both high and low make it a breeze. The fully-open dimensions are a very accommodating 20""W x 20""L x 28""H, yet when the job is done it folds down to a fraction of its size, for storage in a drawer or compact hanging. The DURASACK lawn and leaf bag is reusable; just wipe or rinse clean and use repeatedly. Manufactured with heavy-duty woven polypropylene and expert stitching, nothing beats the durability, versatility and ease of use of the DURASACK by Halsted.",USD,17.99,DURASACK®,https://www.walmart.com/ip/DURASACK-48-Gallon-Green-Outdoor-Polypropylene-Reusable-Lawn-and-Leaf-Bag-1-Pack/140920669?variantFieldId=actual_color,Patio & Garden,Outdoor Power Equipment,Outdoor Power Equipment Parts and Accessories
151317860,CE003-03-2 Ring sling Air-O size 2 AQUA Baby carrier,CE003-03-2 Ring sling Air-O size 2 AQUA Baby carrier,USD,84.69,Chimparoo,https://www.walmart.com/ip/CE003-03-2-Ring-sling-Air-O-size-2-AQUA-Baby-carrier/151317860,Baby,Baby Activities & Gear,Baby Carriers
1145871245,"Monster Energy Java Monster Mean Bean, Coffee + Energy Drink, 15 Ounce (Pack Of 12)","<br>Monster Energy Java Monster Mean Bean, Coffee + Energy Drink, 15 Ounce (Pack of 12)<br>Brand : monster energy<br>Manufacturer : Monster Energy<br>Brand: Monster Energy <br>Flavor: Mean Bean <br>Package Information: Can <br>Volume: 15 Fluid Ounces <br>Weight: 5400 Grams<br>KILLER FLAVOR: Mean Bean Java Monster premium coffee and cream, brewed up with a killer Vanilla Bean flavor, supercharged with the Monster energy blend and 188mg of caffeine per can<br>STOCK UP WITH A 12 PACK: Available in a convenient pack of 12<br>Due to new FDA nutrition labeling requirements, product labels may vary from those pictured<br>State of Readiness: Ready to Drink<br><br>No foam, extra hot, half-caf, no-whip, soy latte, enough of the coffeehouse BS already. It’s time to get out of the line and step up to what’s next. Java Monster, premium coffee and cream, brewed up with killer flavor, supercharged with the Monster Energy blend. Coffee done the monster way, wide open, with a take no prisoners attitude and the experience and know-how to back it up. Consumer responsibility--limit 3 cans per day. Not recommended for children, pregnant women or people sensitive to caffeine. Instructions: Shake gently.",USD,41.99,Monster Energy,https://www.walmart.com/ip/Monster-Energy-Java-Monster-Mean-Bean-Coffee-Energy-Drink-15-Ounce-Pack-Of-12/1145871245,Food,Beverages,Energy Drinks
907696530,"Comforter set matching fitted sheet set and pillow sham plushie toy twin size butterfly blue bag print design supersoft for girls, boys bedroom décor","It’s important you help them build a comfortable space for themselves. Turn their room into an oasis with fun, colorful, and modern comforter sets that will spark girls’ and boys’ imaginations.Complet Comforter For Kids In Twin Size Includes  1 Comforter 66""x 86""in, 1 Sham 20""x 26""+2""in, 1 Flat Sheet 66""x 86""in, 1 Fitted Sheet 39""x 75""in, 1 Pillowcase 20""x 30""in, 1 Furry Friend Toy.",USD,45.0,SAMIMPORT-2011,https://www.walmart.com/ip/Comforter-set-matching-fitted-sheet-set-and-pillow-sham-plushie-toy-twin-size-butterfly-blue-bag-print-design-supersoft-for-girls-boys-bedroom-d-cor/907696530?variantFieldId=actual_color,Baby,Toddlers' Room,Toddler Bedding
593176461,"Bestgoods Large Capacity Stroller Straps Included Waterproof Backpack Diaper Bags, Green","<p>Large Capacity Baby Bag: Gray diaper bag backpack helps to accommodate not only baby boy's or baby girl's essentials, such as diapers, bibs, other baby toiletries but mom's phone, wallet, keys, power bank, Cosmetic bag, etc., which are needed the most in daily life. Each independent pocket designed scientifically helps you to keep things organized and fetch out what you need the most quickly.</p><p>Portable Foldable Crib: A diaper bag with a foldable crib is easy to assemble, and quicker to install and remove with the 2 foldable rods. While dad and mom having travel, the baby can enjoy a spacious clean comfortable area created by the changing station with a soft pad to have a nap or change diapers.</p><p>Convenient &amp; Comfortable: The diaper backpack is designed with a large bag open so that you can fetch out whatever you need from the biggest bag. What's more, the rose gold zippers adopt the durable material so that they can glide smoothly and function well as well as keep your stuff pouring out. Adopting anti-wear material and padded with a soft breathable sponge, baby boys girls' diaper bags can ease your shoulder loads.</p><p>Safety Material: Using waterproof and tear-resistant Oxford, the dirty can be easily wiped from the baby diaper bag backpack. Inside backpack material adopted the Polyester, having a waterproof zipper pocket for wet or towel. Smooth zip is glide conveniently for opening and closing, handle button firm and strong, stitches neat strong, and beautiful. The baby bag with changing station is environmentally friendly, with no pungent smell and BPA.</p>",USD,43.99,Bestgoods,https://www.walmart.com/ip/Bestgoods-Large-Capacity-Stroller-Straps-Included-Waterproof-Backpack-Diaper-Bags-Green/593176461,Baby,Diapering,Diaper Bags
1989345607,YOLAI Baby Food Supplement Grinding Bowl Manual Food Grinder Baby Food Supplement,"Baby Food Supplement Grinding Bowl Manual Food Grinder Baby Food Supplement<br>Description: The baby food grinder is stacked and stored without taking up any space. The bowl is made of non-toxic, tasteless and harmless to health PP material.<br> design: The product has 4 different types of grinding filters for processing different foods. It is also equipped with grinding rods, grinding spoons and spoons.<br> Features: It can be used to grind potatoes, sweet potatoes, carrots, pumpkins, meat and fish. All you have to do is steam them and grind them into a smooth paste.<br> Features: Different grinding filters have different uses. A grinding filter with many triangular protrusions is used to make carrots or cucumbers, and a filter covered with small holes is used to make juice.<br>   Specification:<br>         Product material: PP material<br>       Color: mint green, pink       Size: as shown below       Product features: grinding, juicing, filtering       Applicable<br> age: more than five months Package Contents:      1 X grinder set (boxed) notes:<br>      Due to manual measurement, please allow a measurement deviation of 1-2cm.<br>",USD,15.9,YOLAI,https://www.walmart.com/ip/YOLAI-Baby-Food-Supplement-Grinding-Bowl-Manual-Food-Grinder-Baby-Food-Supplement/1989345607?variantFieldId=actual_color,Baby,Feeding,Toddler Feeding
254479546,"Bug Zapper, Electronic LED Mosquito Zappers Killer Insect Fly Trap, Waterproof Bug Zapper for Indoor and Outdoor Patio Backyard，Wall Mounted,C13","<p>Features:</p>
<p>Safe for human and pets - Sturdy plastic grid keeps out children, pets and wildlife. No more pesticides or potentially harmful sprays. Our fly light trap helps you avoid the continuing expenses and inconveniences of chemical insecticides.</p>
<p>Easy to clean up - Our mosquito killer lamp has a hidden tray for the dead flies in the bottom of the device. To clean it up, simply remove the tray and clean it up with a brush or flush with warm water. Fast and effective!</p>
<p>Indoor solution - This fly zapper can be used both inside and outside of a house, office or restaurant. Perfect for backyards, BBQ and pool area.</p>
<p>Best yard placement - Position BUGs BBQ mosquitos trap at least 10 feet away from areas of human activity, hang or put unit 3-5 feet high, using outdoor extension cord, place near insect breeding grounds, shrubs/trees, shade and standing water. </p>
<p>Descriptions:</p>
<p>Specifications: C13 wall-mounted gray / straight plug, C12 column gray / straight plug</p>
<p>Light source type: LED</p>
<p>Light source power: 5W</p>
<p>Applicable area: 20-50 square meters</p>
<p>Mesh material: inner aluminum mesh</p>
<p>Mosquito and mosquito repellent method: light wave mosquito attracting + electric shock mosquito killing</p>
<p>Switch type: one key switch</p>
<p>Charging method: USB/charger/car/computer/power bank</p>
<p>Input voltage: 5V</p>
<p>Light trapping: 365nm nano-violet light</p>
<p>Product usage scenarios: living room, bedroom, courtyard, outdoor, etc.</p>
<p>A set of products includes: 1* Mosquito Killer Lamp + 1* Charging Cable + Cleaning Brush + 18 Instructions&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;</p>
<p>&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;</p>",USD,15.39,MDHAND,https://www.walmart.com/ip/Bug-Zapper-Electronic-LED-Mosquito-Zappers-Killer-Insect-Fly-Trap-Waterproof-Bug-Zapper-for-Indoor-and-Outdoor-Patio-Backyard-Wall-Mounted-C13/254479546,Household Essentials,Pest Control,All Pest Control
588661282,Amuver Household Stainless Steel Soup Spoon Round Head Large Gold Spoons,"Household Stainless Steel Soup Spoon, Round Head Large Gold Spoons, Dinner Serving Accessories, Cooking Tableware&lt;br&gt;
&lt;br&gt;
Feature:&lt;br&gt;
Made of high-quality stainless steel material, very strong and durable.&lt;br&gt;
High temperature resistance, no rust, easy to clean.&lt;br&gt;
The golden round head design can hold more food at one time.&lt;br&gt;
The ergonomic handle is easy to grasp.&lt;br&gt;
It is easy to carry, can reduce the use of disposable tableware, and is very environmentally friendly.&lt;br&gt;
&lt;br&gt;
Friendly Tips:&lt;br&gt;
1.Please kindly allow 2-3% difference according to manual measurement.&lt;br&gt;
2.Please check the measurement chart before you buy the item. (1inch=2.54cm)&lt;br&gt;
3.Please note that slight difference should be acceptable due to the light and screen.Thanks.&lt;br&gt;
&lt;br&gt;
Specifications:&lt;br&gt;
Material: Stainless Steel&lt;br&gt;
Pattern Type: Patchwork&lt;br&gt;
Style: Home&lt;br&gt;
Size: 16.5*4.5 cm/6.5*1.77 inches&lt;br&gt;
Weight: 43 g/1.51 ounces&lt;br&gt;
&lt;br&gt;
Package Contents:&lt;br&gt;
1*Spoon&lt;br&gt;
&lt;br&gt;
Promise:&lt;br&gt;
If the product has any quality problems, please feel free to contact us, we will help you solve the problem as quickly as possible.",USD,9.8,Amuver,https://www.walmart.com/ip/Amuver-Household-Stainless-Steel-Soup-Spoon-Round-Head-Large-Gold-Spoons/588661282?variantFieldId=actual_color,Home,Kitchen & Dining,Dining & Entertaining
55684970,Winfun Multi Color Grow With Me Melody Gym - Girl or Boy Item,"Winfun Grow With me Multi Color Melody Gym is a Deluxe Baby Gym Designed for the 3 Stages of Development: Laying, Sitting and Standing. Tactile Activities include a Smiling Roller with Rattle Beads and Dual Side Sliding Beads. This Baby Gym has 3 Repositionable Hanging Toys including a Rattle, and Teether Toys! Bright Colors of Red, White, Blue and Green will Stimulate Baby. CPS Parenting System/Stage 1: Gross Motor Skills, Curiosity, Fine Motor Skills.  Recommended Ages 3 Months and Up",USD,52.0,WinFun,https://www.walmart.com/ip/Winfun-Multi-Color-Grow-With-Me-Melody-Gym-Girl-or-Boy-Item/55684970,Baby,Baby Activities & Gear,Baby Gyms & Playmats
